"view_history","rt","trialid","procedure","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","question_order","slider_start"
"[{""page_index"":0,""viewing_time"":211}]","211","Instructions","COVIDCONTROL","instructions","42","22840","0.0-51.0","","","",""
"","818.8050000003386","COVIDCONTROL_01","COVIDCONTROL","survey-multi-select","43","23661","0.0-52.0","{""Q0"":""Quién más vive en su casa además de usted actualmente? (puede marcar más de una alternativa)""}","{""Q0"":[""&nbsp;Compañero(a) de vivienda menor de 60 años""]}","[0]",""
"","684","COVIDCONTROL_02","COVIDCONTROL","survey-multi-choice-vertical","44","24348","0.0-53.0","{""Q0"":""Si tuviera que elegir aquella situación que más lo(a) representa durante la pandemia del COVID-19, ¿cuál sería?""}","{""Q0"":"" Hago mis quehaceres de forma normal (trabajo, colegio, etc), y también voy a restaurantes, cines, etc""}","",""
"","573","COVIDCONTROL_03","COVIDCONTROL","survey-multi-choice-vertical","45","24922","0.0-54.0","{""Q0"":""De forma general, ¿cómo describiría su estado de salud en este último tiempo? Usted diría que es:""}","{""Q0"":"" Bueno""}","",""
"","890.7299999996212","COVIDCONTROL_04","COVIDCONTROL","survey-multi-select","46","25816","0.0-55.0","{""Q0"":""A su alrededor, ¿ha habido diagnósticos de COVID-19? (Marque todas las alternativas que se ajusten a su realidad)""}","{""Q0"":[""&nbsp;No""]}","[0]",""
"","574","COVIDCONTROL_05","COVIDCONTROL","survey-multi-choice-vertical","47","26392","0.0-56.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Infectarse con COVID-19""}","{""Q0"":"" Alto riesgo""}","",""
"","573","COVIDCONTROL_06","COVIDCONTROL","survey-multi-choice-vertical","48","26966","0.0-57.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Bajo riesgo""}","",""
"","538","COVIDCONTROL_07","COVIDCONTROL","survey-multi-choice-vertical","49","27507","0.0-58.0","{""Q0"":""Qué tan en riesgo cree que se encuentra de: Morir de COVID-19""}","{""Q0"":"" Muy bajo riesgo""}","",""
"","536","COVIDCONTROL_08","COVIDCONTROL","survey-multi-choice-vertical","50","28044","0.0-59.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Infectarse con COVID-19""}","{""Q0"":"" Muy bajo riesgo""}","",""
"","520","COVIDCONTROL_09","COVIDCONTROL","survey-multi-choice-vertical","51","28566","0.0-60.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Experimentar una versión severa de la infección COVID-19""}","{""Q0"":"" Bajo riesgo""}","",""
"","527","COVIDCONTROL_10","COVIDCONTROL","survey-multi-choice-vertical","52","29095","0.0-61.0","{""Q0"":""Qué tan en riesgo cree que se encuentran su familiares o amigos cercanos de: Morir de COVID-19""}","{""Q0"":"" Alto riesgo""}","",""
"","474","COVIDCONTROL_11","COVIDCONTROL","survey-multi-choice-vertical","53","29570","0.0-62.0","{""Q0"":""Cuando compara la situación financiera de su hogar antes y después de la pandemia por COVID-19, ¿considera que ahora es mejor, peor o que se ha mantenido igual que antes?""}","{""Q0"":"" Peor""}","",""
"","560","COVIDCONTROL_12","COVIDCONTROL","survey-multi-choice-vertical","54","30132","0.0-63.0","{""Q0"":""¿Cuál de las siguientes frases describe mejor su situación laboral durante la pandemia por COVID-19?""}","{""Q0"":"" No lo sé / Prefiero no responder""}","",""
"","358.2750000000451","COVIDCONTROL_13","COVIDCONTROL","html-slider-response","55","30492","0.0-64.0","<div class=""justified"">¿En qué medida considera que las consecuencias de la pandemia han afectado su calidad de vida?</div></br>","1","","50"
